Total reads,Chain strength,Anneal time,QPU time,Lowest energy,Chain break fraction,Overlaps,Total entropy
1000,32.62225919937769,20.0,147761.16,-24.024811848618057,0.0035398230088495575,0,136.5715607790228
1500,32.62225919937769,20.0,147761.16,-38.69247016578881,0.0017699115044247787,0,135.16973106575867
2000,32.62225919937769,20.0,147761.16,-99.37613176979869,0.005309734513274336,0,144.3183680216715
2500,32.62225919937769,20.0,147761.16,-66.96699586120896,0.0035398230088495575,0,146.6366145998633
3000,32.62225919937769,20.0,147761.16,-67.00494366447681,0.0017699115044247787,0,136.77889751208608
3500,32.62225919937769,20.0,147761.16,-70.25917350804659,0.0017699115044247787,0,145.59976211894553
4000,32.62225919937769,20.0,147761.16,-71.07637386519735,0.0,2,157.02835566428243
4500,32.62225919937769,20.0,147761.16,-55.116651154353434,0.0017699115044247787,1,139.12191050929064
5000,32.62225919937769,20.0,147761.16,-112.31573105892164,0.0,0,147.1966286228848
1000,32.62225919937769,20.0,147761.96,-38.73207888649427,0.0035398230088495575,0,143.84639786716153
1500,32.62225919937769,20.0,147761.96,-58.24146865674472,0.0017699115044247787,0,142.91110003930237
2000,32.62225919937769,20.0,147761.96,-78.26558421323574,0.0017699115044247787,0,149.6453411125135
2500,32.62225919937769,20.0,147761.96,-64.46091323190458,0.0,0,139.79658469376452
3000,32.62225919937769,20.0,147761.96,-60.43088186352972,0.0035398230088495575,0,146.76368356647544
3500,32.62225919937769,20.0,147761.96,-58.31596475998741,0.0035398230088495575,0,139.947661742405
4000,32.62225919937769,20.0,147761.96,-53.29750723520553,0.0017699115044247787,0,139.99304807182375
4500,32.62225919937769,20.0,147761.96,-76.88918250587275,0.0,0,144.6699237644844
5000,32.62225919937769,20.0,147761.96,-67.90111542203422,0.0017699115044247787,0,137.70388788173392
2000,32.62225919937769,20.0,147761.96,-96.49759981040167,0.0,0,154.94688574788756
2500,32.62225919937769,20.0,147761.96,-55.8671681493646,0.005309734513274336,0,141.96224235559544
3000,32.62225919937769,20.0,147761.96,-67.55744920787673,0.0,0,152.13301854821702
3500,32.62225919937769,20.0,147761.96,-91.6881995109076,0.0017699115044247787,0,143.92869843457342
4000,32.62225919937769,20.0,147761.96,-66.11756870042461,0.0,1,140.99471724425388
4500,32.62225919937769,20.0,147761.96,-89.30276420224432,0.0,0,140.32695350916845
5000,32.62225919937769,20.0,147761.96,-91.59477808167479,0.0017699115044247787,0,146.04962499390695
500,32.62225919937769,20.0,147761.96,-45.28378801740486,0.0035398230088495575,0,140.53392373028225
1000,32.62225919937769,20.0,147761.96,-52.82156637127342,0.0017699115044247787,0,146.47092460983225
1500,32.62225919937769,20.0,147761.96,-56.4388504371876,0.0,0,144.90013623662097
2000,32.62225919937769,20.0,147761.96,-65.3282237265528,0.0,0,145.3447303149957
2500,32.62225919937769,20.0,147761.96,-71.36193449677614,0.0017699115044247787,0,142.34211189084934
3000,32.62225919937769,20.0,147761.96,-60.95015425485706,0.0017699115044247787,0,144.79059833373182
3500,32.62225919937769,20.0,147761.96,-44.59952806737955,0.0,1,145.9395115371833
4000,32.62225919937769,20.0,147761.96,-71.5777041942468,0.0,0,144.42260288860626
4500,32.62225919937769,20.0,147761.96,-72.91235278379453,0.0,0,139.9259221155364
5000,32.62225919937769,20.0,147761.96,-61.33664060451859,0.0035398230088495575,0,141.16650585310936
500,32.62225919937769,20.0,147761.96,-45.67732703137216,0.0017699115044247787,1,147.44808120022623
1000,32.62225919937769,20.0,147761.96,-49.57127090424365,0.0017699115044247787,0,142.22740721566217
1500,32.62225919937769,20.0,147761.96,-70.34224215590044,0.0,1,148.71759801823478
2000,32.62225919937769,20.0,147761.96,-78.8900197269312,0.0,0,141.13696236460922
2500,32.62225919937769,20.0,147761.96,-60.99906340136199,0.0017699115044247787,0,144.3325377007021
3000,32.62225919937769,20.0,147761.96,-47.5153906311948,0.0035398230088495575,0,142.0759052524091
3500,32.62225919937769,20.0,147761.96,-52.61971339849916,0.0017699115044247787,0,142.39746196259588
4000,32.62225919937769,20.0,147761.96,-38.011675321981116,0.0035398230088495575,0,145.6453835448377
4500,32.62225919937769,20.0,147761.96,-80.14271169049468,0.0035398230088495575,1,147.02190377904668
5000,32.62225919937769,20.0,147761.96,-76.2380002144055,0.0,0,141.91705911144447
5000,32.62225919937769,20.0,279761.96,-89.94444042623557,0.0017699115044247787,0,147.04639367290224
6000,32.62225919937769,20.0,279761.96,-65.20068940794307,0.0017699115044247787,0,145.41597192001623
7000,32.62225919937769,20.0,279761.96,-81.32215854497862,0.0035398230088495575,0,147.79547329100143
8000,32.62225919937769,20.0,279761.96,-93.84535988512118,0.0017699115044247787,0,146.52006305863364
9000,32.62225919937769,20.0,279761.96,-80.3136621267437,0.0,0,147.0732482154665
10000,32.62225919937769,20.0,279761.96,-104.03328961042762,0.0,0,148.7441888509599
10000,32.62225919937769,20.0,279761.96,-59.8022994245239,0.0,0,143.88151441772058
11000,32.62225919937769,20.0,279761.96,-66.25198517194451,0.0,0,149.30383744476634
12000,32.62225919937769,20.0,279761.96,-60.12682970781107,0.0017699115044247787,1,143.57370775932986
13000,32.62225919937769,20.0,279761.96,-53.384081631065186,0.0017699115044247787,0,149.50263959798076
14000,32.62225919937769,20.0,279761.96,-101.73357977515381,0.0035398230088495575,0,151.7894537855433
15000,32.62225919937769,20.0,279761.96,-66.82608169153112,0.0,0,144.76273721434833
16000,32.62225919937769,20.0,279761.96,-68.9073205369938,0.0017699115044247787,0,142.16795858926642
17000,32.62225919937769,20.0,279761.96,-81.88665132400831,0.0,0,149.20668113263156
18000,32.62225919937769,20.0,279761.96,-71.45894547038603,0.0,1,144.0835000460398
19000,32.62225919937769,20.0,279761.96,-116.41116538272531,0.0,0,147.2431374533582
20000,32.62225919937769,20.0,279758.76,-86.65873615660553,0.0,0,146.34046761083735
10000,32.62225919937769,20.0,807758.76,-99.16980911064628,0.0017699115044247787,0,149.36106687355178
11000,32.62225919937769,20.0,807758.76,-76.22714705524959,0.0,0,147.72302417958468
12000,32.62225919937769,20.0,807758.76,-79.71563588494064,0.0017699115044247787,0,148.60563918359847
13000,32.62225919937769,20.0,807758.76,-74.60539917542658,0.0,0,142.15908298200054
14000,32.62225919937769,20.0,807758.76,-71.24577481893408,0.0017699115044247787,0,147.43273416915096
15000,32.62225919937769,20.0,807758.76,-79.49237585421128,0.0017699115044247787,1,145.93293673938487
16000,32.62225919937769,20.0,807758.76,-98.72791598297187,0.0,0,141.41346417806946
17000,32.62225919937769,20.0,807758.76,-88.4492232751027,0.0,0,142.46027782060742
18000,32.62225919937769,20.0,807758.76,-111.10620794445451,0.0,0,147.55607202357896
19000,32.62225919937769,20.0,807758.76,-94.82870261637828,0.0,1,147.49422596038747
20000,32.62225919937769,20.0,807760.76,-81.10292230154039,0.0,0,146.78666836223113
